"","method","nsnp","b","se","pval","exp","run","mode"
"54633","Weighted mode",20,0.34652506243584,0.0385913529503632,2.89435875398648e-08,1,47,"D"
"exposure14633","mvmr",50,0.39345355560103,0.0138946449352018,4.43901518529348e-34,1,47,"D"
"exposure24633","mvmr",50,0.621933777237282,0.187199831343066,0.00160679717170359,2,47,"D"
"14733","MR Egger",19,0.497174158175317,0.0393409499558627,4.53968956102025e-10,1,48,"D"
"24733","Weighted median",19,0.464835061292616,0.0278925560828061,2.34697206257969e-62,1,48,"D"
"34733","Inverse variance weighted",19,0.451353684937179,0.020732875087356,4.47103439732944e-105,1,48,"D"
"44733","Simple mode",19,0.469089509329713,0.0483608649641874,1.42469596329218e-08,1,48,"D"
"54733","Weighted mode",19,0.481537705282662,0.0322195426637516,1.36992814202957e-11,1,48,"D"
"exposure14733","mvmr",50,0.417404808484476,0.0210573502892856,1.90100881646302e-26,1,48,"D"
"exposure24733","mvmr",50,0.462866911608697,0.212596048565392,0.0338542714199463,2,48,"D"
"14833","MR Egger",20,0.225553206646272,0.0190059919575484,6.03311847851153e-10,1,49,"D"
"24833","Weighted median",20,0.316948859054327,0.0269641917490756,6.70068729013103e-32,1,49,"D"
"34833","Inverse variance weighted",20,0.344802262326258,0.0265251078528118,1.23807836171436e-38,1,49,"D"
"44833","Simple mode",20,0.436528585079193,0.0469986972829748,1.70582642342818e-08,1,49,"D"
"54833","Weighted mode",20,0.239991290162788,0.0223675448588313,1.67343653052357e-09,1,49,"D"
"exposure14833","mvmr",50,0.407967432199755,0.0197535501140584,2.67025673810532e-27,1,49,"D"
"exposure24833","mvmr",50,1.19054597920266,0.238839881816169,6.76654733986834e-06,2,49,"D"
"14933","MR Egger",16,0.294830546549601,0.0302940492402761,1.30595169426498e-07,1,50,"D"
"24933","Weighted median",16,0.38541669142207,0.0271997167972199,1.40743134104722e-45,1,50,"D"
"34933","Inverse variance weighted",16,0.390151603889725,0.0179952681857375,3.1149719546426e-104,1,50,"D"
"44933","Simple mode",16,0.430014561545605,0.0513048294624049,4.82867684770414e-07,1,50,"D"
"54933","Weighted mode",16,0.317819433572498,0.0316343121213658,4.69982231449551e-08,1,50,"D"
"exposure14933","mvmr",50,0.403812037900966,0.0197474611862615,4.30020513154836e-27,1,50,"D"
"exposure24933","mvmr",50,0.435932371837957,0.223694033432831,0.0565240718381628,2,50,"D"
"15033","MR Egger",13,0.0843429423315221,0.263732615676029,0.755108335040837,1,51,"D"
"25033","Weighted median",13,0.389929973894425,0.0367622988204075,2.77106920486239e-26,1,51,"D"
"35033","Inverse variance weighted",13,0.429124891543832,0.0281185953832471,1.38569864620591e-52,1,51,"D"
"45033","Simple mode",13,0.369861841229999,0.0655865646213011,0.00010911490531823,1,51,"D"
"55033","Weighted mode",13,0.368519197217542,0.0643096698445345,9.45008972938377e-05,1,51,"D"
"exposure15033","mvmr",50,0.444915832777351,0.023265559039615,1.04157834758318e-25,1,51,"D"
"exposure25033","mvmr",50,0.177900443836732,0.165226074559465,0.286397022019973,2,51,"D"
"15153","MR Egger",15,-0.0392962553863112,0.124164822583906,0.756659223007866,1,52,"D"
"25153","Weighted median",15,0.360970875630803,0.0322394884396167,4.23947748807672e-29,1,52,"D"
"35153","Inverse variance weighted",15,0.395013094157916,0.0237720296429555,5.27426977352033e-62,1,52,"D"
"45153","Simple mode",15,0.460101315095856,0.0616741393094784,3.05838882840818e-06,1,52,"D"
"55153","Weighted mode",15,0.341451307478591,0.052570028357549,1.41304421338054e-05,1,52,"D"
"exposure15153","mvmr",50,0.38887111383391,0.0198495668336743,3.32136599558278e-26,1,52,"D"
"exposure25153","mvmr",50,0.830259964764873,0.175584706504974,1.66236128735226e-05,2,52,"D"
"15233","MR Egger",16,0.236046002046067,0.0356424546222638,1.14622734910138e-05,1,53,"D"
"25233","Weighted median",16,0.282386551872968,0.0295469195830969,1.2095665661771e-21,1,53,"D"
"35233","Inverse variance weighted",16,0.34630939012096,0.0281750880386228,1.00829483033891e-34,1,53,"D"
"45233","Simple mode",16,0.438457321966458,0.0775603493713038,4.58961673337642e-05,1,53,"D"
"55233","Weighted mode",16,0.261197486138781,0.0294819603346015,2.39742911854774e-07,1,53,"D"
"exposure15233","mvmr",50,0.401374556901231,0.022369602520513,2.05283304598616e-24,1,53,"D"
"exposure25233","mvmr",50,0.691478248759524,0.194342200084761,0.000787566152494052,2,53,"D"
"15333","MR Egger",22,0.0661320460895344,0.0373902311264394,0.0921943156220298,1,54,"D"
"25333","Weighted median",22,0.349727242607766,0.021962152967837,4.31260183616278e-57,1,54,"D"
"35333","Inverse variance weighted",22,0.342745852839258,0.0308438300484489,1.09308825403074e-28,1,54,"D"
"45333","Simple mode",22,0.374127572945923,0.0353860920801998,7.24238926719922e-10,1,54,"D"
"55333","Weighted mode",22,0.365797267360169,0.0327689728325105,2.72975674110485e-10,1,54,"D"
"exposure15333","mvmr",50,0.396832449870093,0.0146519696449751,4.20625500193767e-33,1,54,"D"
"exposure25333","mvmr",50,1.34408546433854,0.158260206102476,1.59248801707311e-11,2,54,"D"
"15433","MR Egger",19,-0.031283525694702,0.129647177387444,0.812210991640768,1,55,"D"
"25433","Weighted median",19,0.401441089113527,0.0279588857439514,9.45650635001188e-47,1,55,"D"
"35433","Inverse variance weighted",19,0.416312822241466,0.0227102026446805,4.6365406654729e-75,1,55,"D"
"45433","Simple mode",19,0.423484176168124,0.0530017436429148,2.49473531848515e-07,1,55,"D"
"55433","Weighted mode",19,0.419751404484855,0.0495309150153778,1.06840720360463e-07,1,55,"D"
"exposure15433","mvmr",50,0.410517536752542,0.019269956312379,5.98757696449304e-28,1,55,"D"
"exposure25433","mvmr",50,0.921894306663693,0.202771181203836,3.11800305040244e-05,2,55,"D"
"15533","MR Egger",18,0.324593102152176,0.0866848886219477,0.00176810557802404,1,56,"D"
"25533","Weighted median",18,0.363595846731203,0.0268266164561487,7.5490702631478e-42,1,56,"D"
"35533","Inverse variance weighted",18,0.379076789514879,0.0198956222208148,6.17158217614868e-81,1,56,"D"
"45533","Simple mode",18,0.388592231122533,0.0451793755679027,1.3426146500127e-07,1,56,"D"
"55533","Weighted mode",18,0.316112106317648,0.0417929614944776,7.7645408482318e-07,1,56,"D"
"exposure15533","mvmr",50,0.376691049974429,0.0168400955952837,5.59025073478349e-29,1,56,"D"
"exposure25533","mvmr",50,-0.127617952812331,0.173847460845652,0.466075515159892,2,56,"D"
"15633","MR Egger",18,0.531997769167667,0.101382362404911,7.97339032786196e-05,1,57,"D"
"25633","Weighted median",18,0.478306995382433,0.0373473226206553,1.49824011489027e-37,1,57,"D"
"35633","Inverse variance weighted",18,0.465528195880857,0.0313237858209074,5.83265681036479e-50,1,57,"D"
"45633","Simple mode",18,0.547056072362707,0.0704396661299115,5.45202421880927e-07,1,57,"D"
"55633","Weighted mode",18,0.516332722957449,0.0672576855200111,6.36835261660833e-07,1,57,"D"
"exposure15633","mvmr",50,0.429862170869722,0.0248666163841575,1.14486821600333e-23,1,57,"D"
"exposure25633","mvmr",50,0.282476942635982,0.148509645070897,0.0625003089627003,2,57,"D"
"15733","MR Egger",21,0.560633195598214,0.034728203581682,1.50150836830247e-12,1,58,"D"
"25733","Weighted median",21,0.361594797989824,0.0235291256490937,2.68466754914481e-53,1,58,"D"
"35733","Inverse variance weighted",21,0.401503997382763,0.0199820872781833,8.4634770378317e-90,1,58,"D"
"45733","Simple mode",21,0.34499501809725,0.0410105169519795,5.31627098763695e-08,1,58,"D"
"55733","Weighted mode",21,0.339624813025322,0.0395750572424762,3.8752970765324e-08,1,58,"D"
"exposure15733","mvmr",50,0.37134699565585,0.0155039093261037,1.94109908890147e-30,1,58,"D"
"exposure25733","mvmr",50,0.586164526265036,0.129477686814384,3.331552528967e-05,2,58,"D"
"15833","MR Egger",17,0.811572061258058,0.0936953550683513,3.19258717343463e-07,1,59,"D"
"25833","Weighted median",17,0.35812987616507,0.0298719863610612,4.06655348814647e-33,1,59,"D"
"35833","Inverse variance weighted",17,0.433456398524245,0.0452749434961657,1.02977741757383e-21,1,59,"D"
"45833","Simple mode",17,0.341671231012845,0.0454513830292955,1.23145924394637e-06,1,59,"D"
"55833","Weighted mode",17,0.335932927843524,0.0391113641822013,2.17973951578732e-07,1,59,"D"
"exposure15833","mvmr",50,0.359885276788374,0.0225667293653979,4.4183937631787e-22,1,59,"D"
"exposure25833","mvmr",50,1.48213431047764,0.225536497533332,2.04168295321037e-08,2,59,"D"
"15933","MR Egger",22,0.140430259329596,0.0265119176060079,3.48690850538367e-05,1,60,"D"
"25933","Weighted median",22,0.354220379388123,0.021722114026364,8.81519947246624e-60,1,60,"D"
"35933","Inverse variance weighted",22,0.349562525373651,0.0228035308894321,4.87090400095394e-53,1,60,"D"
"45933","Simple mode",22,0.372557861519375,0.0392079529087705,4.70210923319883e-09,1,60,"D"
"55933","Weighted mode",22,0.37018542138488,0.0416468420806981,1.46170466357665e-08,1,60,"D"
"exposure15933","mvmr",50,0.386246937542828,0.0133219015019174,1.34028382358364e-34,1,60,"D"
"exposure25933","mvmr",50,1.07063984607691,0.165902426604729,3.17147328442115e-08,2,60,"D"
"16033","MR Egger",19,-0.051489815121118,0.0582860947383469,0.389343479423943,1,61,"D"
"26033","Weighted median",19,0.35106758003537,0.0236447838930426,7.21365876217777e-50,1,61,"D"
"36033","Inverse variance weighted",19,0.348315344875946,0.0336202178622345,3.75804720529538e-25,1,61,"D"
"46033","Simple mode",19,0.348548126348602,0.045593408744767,4.65153869558447e-07,1,61,"D"
"56033","Weighted mode",19,0.3433449960161,0.0378021915334808,3.84290141543304e-08,1,61,"D"
"exposure16033","mvmr",50,0.390060714005388,0.013657252047447,2.87482008695957e-34,1,61,"D"
"exposure26033","mvmr",50,1.31480495176672,0.154370631543454,1.45610083241762e-11,2,61,"D"
"16153","MR Egger",20,0.585845437757619,0.0546558668907031,3.03722251384996e-09,1,62,"D"
"26153","Weighted median",20,0.374090456348527,0.0247653692424348,1.49230461549945e-51,1,62,"D"
"36153","Inverse variance weighted",20,0.424460758455858,0.0273284062168942,2.11191612669979e-54,1,62,"D"
"46153","Simple mode",20,0.397601055700728,0.0423461224033897,1.43797738711e-08,1,62,"D"
"56153","Weighted mode",20,0.352505855914642,0.0360317524744504,7.48276508480636e-09,1,62,"D"
"exposure16153","mvmr",50,0.388496798325086,0.0169531104283276,1.71255124398448e-29,1,62,"D"
"exposure26153","mvmr",50,0.890658733160709,0.181741902009842,9.10200638182308e-06,2,62,"D"
"16233","MR Egger",20,0.565600749511101,0.0558428720600606,7.33584038357254e-09,1,63,"D"
"26233","Weighted median",20,0.41873143921187,0.0308762643970376,6.76475114070176e-42,1,63,"D"
"36233","Inverse variance weighted",20,0.462929010788323,0.0270301565787742,9.43288072408095e-66,1,63,"D"
"46233","Simple mode",20,0.404805102987852,0.0511890320562034,1.98907374897522e-07,1,63,"D"
"56233","Weighted mode",20,0.407726592316887,0.0521006047971314,2.32076567094076e-07,1,63,"D"
"exposure16233","mvmr",50,0.411998479958101,0.0205384682437747,1.07747938740726e-26,1,63,"D"
"exposure26233","mvmr",50,0.737904822905417,0.197026265296011,0.000439406752464171,2,63,"D"
"16333","MR Egger",18,0.000952029903379583,0.14192755832253,0.994730868883161,1,64,"D"
"26333","Weighted median",18,0.388950864875197,0.0277120770777609,9.46233256379045e-45,1,64,"D"
"36333","Inverse variance weighted",18,0.401250871221332,0.0198834502811294,1.46322113025988e-90,1,64,"D"
"46333","Simple mode",18,0.422451227735475,0.0460802330158214,5.44715463520583e-08,1,64,"D"
"56333","Weighted mode",18,0.412007049276601,0.0479496151866239,1.3615261050818e-07,1,64,"D"
"exposure16333","mvmr",50,0.384652057931618,0.0182619848691764,1.0361590386976e-27,1,64,"D"
"exposure26333","mvmr",50,0.62272562086662,0.179537842265613,0.00103565930251678,2,64,"D"
"16433","MR Egger",20,-0.0581574328798544,0.133835845790761,0.669058740394816,1,65,"D"
"26433","Weighted median",20,0.352748528748186,0.0230574014957682,7.79855472462456e-53,1,65,"D"
"36433","Inverse variance weighted",20,0.379872956002028,0.0138854841682783,8.77932973178874e-165,1,65,"D"
"46433","Simple mode",20,0.445806915748368,0.0429726568328886,2.90286516092881e-09,1,65,"D"
"56433","Weighted mode",20,0.327742301208591,0.037997328736787,5.38351432931139e-08,1,65,"D"
"exposure16433","mvmr",50,0.379453870827565,0.0141443788884437,6.79308496747438e-33,1,65,"D"
"exposure26433","mvmr",50,0.65984976294415,0.148826944082224,4.58276407126713e-05,2,65,"D"
"16533","MR Egger",18,0.390441371213077,0.0518109281768451,1.19351097398298e-06,1,66,"D"
"26533","Weighted median",18,0.375714757903239,0.0242068547548956,2.50095829531931e-54,1,66,"D"
"36533","Inverse variance weighted",18,0.383587484236649,0.0179162330670315,1.07692123881212e-101,1,66,"D"
"46533","Simple mode",18,0.418011204340871,0.0418478098387952,1.57382109234651e-08,1,66,"D"
"56533","Weighted mode",18,0.384664033854751,0.0431639460928638,8.14956352817722e-08,1,66,"D"
"exposure16533","mvmr",50,0.375331792221086,0.0155695634611458,1.41103523526289e-30,1,66,"D"
"exposure26533","mvmr",50,-0.237096556656296,0.218280087549179,0.282214131758951,2,66,"D"
"16633","MR Egger",19,0.18003116356186,0.0238750017465561,8.08815825425391e-07,1,67,"D"
"26633","Weighted median",19,0.216405919335544,0.0232350934800306,1.23393551653929e-20,1,67,"D"
"36633","Inverse variance weighted",19,0.294921676740526,0.0277537570494078,2.24689779033658e-26,1,67,"D"
"46633","Simple mode",19,0.316767042408155,0.069233599818503,0.000234638344384526,1,67,"D"
"56633","Weighted mode",19,0.20720307715467,0.0203589078828101,6.80769613916372e-09,1,67,"D"
"exposure16633","mvmr",50,0.371485301003923,0.0201245891887087,5.47701685688148e-25,1,67,"D"
"exposure26633","mvmr",50,1.38586998561027,0.259248501828245,1.86212576435848e-06,2,67,"D"
"16733","MR Egger",21,-0.152596118888647,0.148564249170681,0.317254772313559,1,68,"D"
"26733","Weighted median",21,0.4064560169002,0.0259248042826556,2.12984543492525e-55,1,68,"D"
"36733","Inverse variance weighted",21,0.39817171756179,0.0210988891585576,1.94958819057203e-79,1,68,"D"
"46733","Simple mode",21,0.444721258748844,0.0520562427433107,4.16410525240894e-08,1,68,"D"
"56733","Weighted mode",21,0.426804707599582,0.0522794984418782,8.50905760619577e-08,1,68,"D"
"exposure16733","mvmr",50,0.378957182170529,0.0178678415236262,7.42479745213329e-28,1,68,"D"
"exposure26733","mvmr",50,0.138644014468058,0.15735065578025,0.38216062522866,2,68,"D"
"16833","MR Egger",16,-0.293563073255582,0.168756672184444,0.103863065991975,1,69,"D"
"26833","Weighted median",16,0.378292095160728,0.0308536954595794,1.46975977681859e-34,1,69,"D"
"36833","Inverse variance weighted",16,0.388571472969668,0.0216164130116932,3.0169579279077e-72,1,69,"D"
"46833","Simple mode",16,0.398006590590953,0.050460902253675,1.02484708889126e-06,1,69,"D"
"56833","Weighted mode",16,0.387303439903305,0.0447152050819881,3.1937864453665e-07,1,69,"D"
"exposure16833","mvmr",50,0.374633804768855,0.018604901308291,8.98529064165281e-27,1,69,"D"
"exposure26833","mvmr",50,0.616783647242418,0.207996578860836,0.00449404131548303,2,69,"D"
"16933","MR Egger",19,-0.0764373024159565,0.0400611136673978,0.0734248993806758,1,70,"D"
"26933","Weighted median",19,0.357945156228015,0.0245248559359653,3.01331552759401e-48,1,70,"D"
"36933","Inverse variance weighted",19,0.338129509856223,0.0384286535744722,1.38175587509766e-18,1,70,"D"
"46933","Simple mode",19,0.372070351798962,0.0411384510221264,4.09324833416536e-08,1,70,"D"
"56933","Weighted mode",19,0.370420798175384,0.0416464557410624,5.24835507829393e-08,1,70,"D"
"exposure16933","mvmr",50,0.376173127607017,0.0174983740706811,3.85990860743017e-28,1,70,"D"
"exposure26933","mvmr",50,1.38985927596439,0.194947389028374,2.53933499352844e-09,2,70,"D"
"17033","MR Egger",22,0.188073131442073,0.0319163739046475,9.17387254692939e-06,1,71,"D"
"27033","Weighted median",22,0.341297733361505,0.022888353068611,2.77801966576691e-50,1,71,"D"
"37033","Inverse variance weighted",22,0.347850434523204,0.0187167272124099,4.24974915081197e-77,1,71,"D"
"47033","Simple mode",22,0.362835823083467,0.0411535820310446,1.67521334898674e-08,1,71,"D"
"57033","Weighted mode",22,0.351640185623499,0.0552535348571276,2.61215204011136e-06,1,71,"D"
"exposure17033","mvmr",50,0.375136685142882,0.0132354990856041,4.23508660453569e-34,1,71,"D"
"exposure27033","mvmr",50,0.598339587252737,0.139582717214326,7.5278656099384e-05,2,71,"D"
"17153","MR Egger",21,0.199694458915274,0.0489123792135405,0.000634319245185088,1,72,"D"
"27153","Weighted median",21,0.354472404286716,0.0229749248532152,1.0502117485343e-53,1,72,"D"
"37153","Inverse variance weighted",21,0.353856420938104,0.0154954884141779,2.00905064914633e-115,1,72,"D"
"47153","Simple mode",21,0.380881044559128,0.0479687393656086,1.30868928925762e-07,1,72,"D"
"57153","Weighted mode",21,0.3593829342574,0.0412083860461435,2.99646669498817e-08,1,72,"D"
"exposure17153","mvmr",50,0.371034086365804,0.0151827205525419,7.17729017190989e-31,1,72,"D"
"exposure27153","mvmr",50,0.234634135089056,0.149537485585292,0.122474402596466,2,72,"D"
"17233","MR Egger",21,-0.145817746122293,0.120780714460272,0.242134586188373,1,73,"D"
"27233","Weighted median",21,0.329433853137399,0.0267645154968889,8.14181333470893e-35,1,73,"D"
"37233","Inverse variance weighted",21,0.36491003171282,0.0252420252096662,2.28277117135735e-47,1,73,"D"
"47233","Simple mode",21,0.317753439593547,0.0566943129218734,1.74087020318028e-05,1,73,"D"
"57233","Weighted mode",21,0.317753439593547,0.0458579304021526,9.95750160238955e-07,1,73,"D"
"exposure17233","mvmr",50,0.354880648421812,0.0200173471057673,3.57978487329135e-24,1,73,"D"
"exposure27233","mvmr",50,1.44754575513498,0.217121716743985,1.43023600242756e-08,2,73,"D"
"17333","MR Egger",13,0.0226132687855318,0.183979298688527,0.904393710322865,1,74,"D"
"27333","Weighted median",13,0.45068506307705,0.0376130417684633,4.40749309703314e-33,1,74,"D"
"37333","Inverse variance weighted",13,0.434332107718908,0.0259469648573656,6.78649257877719e-63,1,74,"D"
"47333","Simple mode",13,0.47465078574365,0.0709484021631518,2.22766923945301e-05,1,74,"D"
"57333","Weighted mode",13,0.471381299413196,0.0719427054144949,2.72075170851598e-05,1,74,"D"
"exposure17333","mvmr",50,0.424856157490885,0.0217625907078279,3.922653082409e-26,1,74,"D"
"exposure27333","mvmr",50,0.490872446614855,0.188480493857465,0.0118640882221531,2,74,"D"
"17433","MR Egger",20,-0.106961919866309,0.0881169214582984,0.240487173572713,1,75,"D"
"27433","Weighted median",20,0.34616683337052,0.0226018956300285,5.99400669339215e-53,1,75,"D"
"37433","Inverse variance weighted",20,0.366749219239185,0.0213374366195821,3.26247618591063e-66,1,75,"D"
"47433","Simple mode",20,0.367146247480794,0.0399725222303374,2.03270475278615e-08,1,75,"D"
"57433","Weighted mode",20,0.331076713649394,0.0317800744605533,2.71136899754447e-09,1,75,"D"
"exposure17433","mvmr",50,0.368335536871043,0.0162465721536648,2.89617652140869e-29,1,75,"D"
"exposure27433","mvmr",50,-0.423322309044776,0.210108205740087,0.0489181946451812,2,75,"D"
"17533","MR Egger",16,0.31072410988324,0.0292276541292277,4.35439444683567e-08,1,76,"D"
"27533","Weighted median",16,0.337173213607255,0.0228753272518337,3.58894894227432e-49,1,76,"D"
"37533","Inverse variance weighted",16,0.378562315522666,0.0199354223145765,2.08578432243155e-80,1,76,"D"
"47533","Simple mode",16,0.360819935903641,0.0415595679842575,3.0999930770079e-07,1,76,"D"
"57533","Weighted mode",16,0.340020805380671,0.0257560187266343,1.16084106434414e-09,1,76,"D"
"exposure17533","mvmr",50,0.405037626283637,0.0167053686855688,1.06104301997189e-30,1,76,"D"
"exposure27533","mvmr",50,-0.366044414628281,0.193899218796138,0.0644300290403473,2,76,"D"
"17633","MR Egger",14,0.0499071150136389,0.190020263975294,0.7972820490493,1,77,"D"
"27633","Weighted median",14,0.439920156934198,0.037669964628692,1.64604523680797e-31,1,77,"D"
"37633","Inverse variance weighted",14,0.446515538181543,0.0311048807080473,9.88970769187821e-47,1,77,"D"
"47633","Simple mode",14,0.44064000600398,0.063078323539629,9.54427178165151e-06,1,77,"D"
"57633","Weighted mode",14,0.44064000600398,0.0644686147614549,1.19727571049926e-05,1,77,"D"
"exposure17633","mvmr",50,0.423633262544703,0.0227002972279075,3.28451808576558e-25,1,77,"D"
"exposure27633","mvmr",50,0.977322187743989,0.16368944962756,1.90092541283122e-07,2,77,"D"
"17733","MR Egger",16,0.195999016918469,0.139592065054387,0.182087637318942,1,78,"D"
"27733","Weighted median",16,0.366444598239653,0.0255618061621606,1.31051650887666e-46,1,78,"D"
"37733","Inverse variance weighted",16,0.38523040410907,0.0158665980765804,3.24129272739766e-130,1,78,"D"
"47733","Simple mode",16,0.349203482329491,0.0488932058056994,3.38046133166011e-06,1,78,"D"
"57733","Weighted mode",16,0.347281232540086,0.0427557663749186,7.13823478909721e-07,1,78,"D"
"exposure17733","mvmr",50,0.380586883181964,0.0183736640425811,2.31820782796873e-27,1,78,"D"
"exposure27733","mvmr",50,0.802030472745012,0.212888650643911,0.000409679043076707,2,78,"D"
"17833","MR Egger",18,0.138781098590501,0.165534031806052,0.414164997142345,1,79,"D"
"27833","Weighted median",18,0.431349209684542,0.0275426009951346,2.78745473238097e-55,1,79,"D"
"37833","Inverse variance weighted",18,0.43601829974176,0.0181697562365818,2.9940493266663e-127,1,79,"D"
"47833","Simple mode",18,0.464343676812471,0.0540855722761375,1.37745896534837e-07,1,79,"D"
"57833","Weighted mode",18,0.450420986473599,0.0560831118757365,3.4607317747742e-07,1,79,"D"
"exposure17833","mvmr",50,0.432208062560237,0.0199085823599641,2.39800573670298e-28,1,79,"D"
"exposure27833","mvmr",50,0.586202860631242,0.165115477444787,0.000806653226103037,2,79,"D"
"17933","MR Egger",18,0.491312624333324,0.034655081343312,1.77506731710578e-10,1,80,"D"
"27933","Weighted median",18,0.39495426791487,0.0315738808574172,6.67487139902101e-36,1,80,"D"
"37933","Inverse variance weighted",18,0.40745237300814,0.0230450708328643,5.90861648877461e-70,1,80,"D"
"47933","Simple mode",18,0.386852446099658,0.0666377473971516,2.10978001330214e-05,1,80,"D"
"57933","Weighted mode",18,0.479020073559906,0.0407860884248119,1.39723655251825e-09,1,80,"D"
"exposure17933","mvmr",50,0.380552640120364,0.0199755707724551,1.24577374154975e-25,1,80,"D"
"exposure27933","mvmr",50,0.486942222267133,0.174757974165744,0.00733926351610846,2,80,"D"
"18033","MR Egger",17,0.240537443109844,0.0451352335308258,8.42376802760953e-05,1,81,"D"
"28033","Weighted median",17,0.406946062341529,0.0272780187272169,2.4997199135969e-50,1,81,"D"
"38033","Inverse variance weighted",17,0.390150312605703,0.017839552155431,5.02002097873259e-106,1,81,"D"
"48033","Simple mode",17,0.407809424857818,0.0504799193992584,4.88332385203355e-07,1,81,"D"
"58033","Weighted mode",17,0.412003737495988,0.0633660685770406,7.29672742371501e-06,1,81,"D"
"exposure18033","mvmr",50,0.397339316415165,0.0189278213347245,1.21842373532838e-27,1,81,"D"
"exposure28033","mvmr",50,0.466568117066649,0.17657422306276,0.0107501730182997,2,81,"D"
"18153","MR Egger",19,0.385593497007804,0.0261516673568549,4.06516102406695e-11,1,82,"D"
"28153","Weighted median",19,0.39476567377898,0.0247790494052182,3.8349002422249e-57,1,82,"D"
"38153","Inverse variance weighted",19,0.400354892227141,0.0136156973117658,4.89297750276465e-190,1,82,"D"
"48153","Simple mode",19,0.397673118160999,0.0424770748674316,2.43873570567398e-08,1,82,"D"
"58153","Weighted mode",19,0.396022001949709,0.0277712454875336,2.99567684272537e-11,1,82,"D"
"exposure18153","mvmr",50,0.40484784647487,0.0175778668887285,1.33746399638607e-29,1,82,"D"
"exposure28153","mvmr",50,-0.0642391511674236,0.180964054722939,0.723985113828894,2,82,"D"
"18233","MR Egger",20,0.220331732273887,0.0305688433322356,1.04692483067777e-06,1,83,"D"
"28233","Weighted median",20,0.328149401017222,0.0259645866218085,1.29756578763302e-36,1,83,"D"
"38233","Inverse variance weighted",20,0.341490014239829,0.0208268448274292,2.02153712419269e-60,1,83,"D"
"48233","Simple mode",20,0.375299976175548,0.0536949545741967,1.17143705081635e-06,1,83,"D"
"58233","Weighted mode",20,0.256598782450933,0.0349544410660349,5.86458395625834e-07,1,83,"D"
"exposure18233","mvmr",50,0.390403271806615,0.0180203800699499,2.65265558346902e-28,1,83,"D"
"exposure28233","mvmr",50,0.743930748155388,0.167988549083278,4.66459463369813e-05,2,83,"D"
"18333","MR Egger",16,-0.0427796081951358,0.12104091097067,0.729030849440756,1,84,"D"
"28333","Weighted median",16,0.416373509196739,0.0281223963623597,1.34454504305882e-49,1,84,"D"
"38333","Inverse variance weighted",16,0.411022922204444,0.0202168049380258,6.87357195283215e-92,1,84,"D"
"48333","Simple mode",16,0.432118862616281,0.0535656839599049,7.76819836218787e-07,1,84,"D"
"58333","Weighted mode",16,0.335888051363684,0.0440039999119218,1.52761121961255e-06,1,84,"D"
"exposure18333","mvmr",50,0.406121197703354,0.0168818902488803,1.56417716815465e-30,1,84,"D"
"exposure28333","mvmr",50,1.29863775384269,0.171955197161073,5.22978811757514e-10,2,84,"D"
"18433","MR Egger",20,0.545564583265021,0.06706389569725,1.92946952249466e-07,1,85,"D"
"28433","Weighted median",20,0.381730507216724,0.0253261420430645,2.45311904044468e-51,1,85,"D"
"38433","Inverse variance weighted",20,0.402030206395782,0.0231723839012718,1.98829200789798e-67,1,85,"D"
"48433","Simple mode",20,0.377155610520447,0.042871902503823,3.9750894355261e-08,1,85,"D"
"58433","Weighted mode",20,0.371685222497405,0.0407581063669964,2.27429802633308e-08,1,85,"D"
"exposure18433","mvmr",50,0.391887529333046,0.0177570137560568,1.07820088775268e-28,1,85,"D"
"exposure28433","mvmr",50,0.693467839848117,0.223609291264801,0.00306125532183299,2,85,"D"
"18533","MR Egger",20,0.334756397800864,0.236771877919473,0.174472964328833,1,86,"D"
"28533","Weighted median",20,0.401899764076883,0.0263047233335671,1.06171820021937e-52,1,86,"D"
"38533","Inverse variance weighted",20,0.410731835374663,0.0184144951816929,3.3183535643056e-110,1,86,"D"
"48533","Simple mode",20,0.414976932134807,0.0528956899023232,2.23755565325256e-07,1,86,"D"
"58533","Weighted mode",20,0.418130302821157,0.0575870779528654,6.85631886659761e-07,1,86,"D"
"exposure18533","mvmr",50,0.401634720716353,0.0180918533839018,8.09284899583757e-29,1,86,"D"
"exposure28533","mvmr",50,0.961943420557534,0.183468474167113,2.69387054242639e-06,2,86,"D"
"18633","MR Egger",19,0.176296720494769,0.0307625785396752,2.44853884658438e-05,1,87,"D"
"28633","Weighted median",19,0.291372729183001,0.024273276246898,3.39151671221303e-33,1,87,"D"
"38633","Inverse variance weighted",19,0.309142268493551,0.0212004190021357,3.66212367371032e-48,1,87,"D"
"48633","Simple mode",19,0.325827679984608,0.0465130317956131,1.53849454893847e-06,1,87,"D"
"58633","Weighted mode",19,0.320170820614009,0.0402657021150429,2.67235897825867e-07,1,87,"D"
"exposure18633","mvmr",50,0.337513636336228,0.0170302266010061,1.91834173083056e-26,1,87,"D"
"exposure28633","mvmr",50,0.579675632653255,0.155779832242869,0.000474066886302808,2,87,"D"
"18733","MR Egger",21,0.254571878138797,0.0126970192886645,3.04414877723783e-14,1,88,"D"
"28733","Weighted median",21,0.274436635516664,0.01421787379309,5.14430375141496e-83,1,88,"D"
"38733","Inverse variance weighted",21,0.311633092767701,0.0179909354793696,3.22836670193569e-67,1,88,"D"
